"First name","Last name","Date-of-birth","WorksAt"
"Kariane","Connelly","1965-07-30","Zulauf-Hegmann"
"Tamia","Reichert","1941-05-16","Miller, Trantow and Hettinger"
"Earlene","Lindgren","1979-06-20","Rath-Rutherford"
"Foster","Haag","1959-10-07","Schmeler, Purdy and Langworth"
"Fritz","Gutmann","1992-04-17","Krajcik LLC"
"Johnny","Hansen","1972-04-02",""
"Savannah","Langworth","1976-03-17","Heller, Kub and Mohr"
"Zoe","Gutmann","1991-09-09","Haley-Hahn"
"Letha","Hilpert","1956-10-14",""
"Judd","Nicolas","1996-12-23","Abshire and Sons"
"Berry","Marks","1996-11-19","O'Connell and Sons"
"Octavia","Orn","1988-05-26","Bashirian and Sons"
"Amiya","Witting","1976-10-09",""
"Kieran","Wiza","1992-08-14",""
"Emely","Bosco","1983-01-26","Mayert, Lang and Auer"
"Wellington","Emard","1955-06-03",""
"Bethany","Stiedemann","1985-03-04","Paucek-Towne"
"Nelson","Klocko","1994-10-11",""
"Samanta","Larkin","1969-02-18","Hilll, O'Kon and Grimes"
"Elwyn","Langosh","1959-09-13","Cartwright Group"
